question	answer	description
フランス料理で使われる「フォアグラ」とはどの動物の肝臓？	アヒルまたはガチョウ	フォアグラはアヒルやガチョウの肝臓から作られます。
日本の伝統的な料理「かぶら寿司」に使われる魚とは？	ブリ	かぶらとともに漬け込まれる北陸地方の名物です。
チョコレートの主原料となる「カカオ」は何科の植物？	アオギリ科	カカオはアオギリ科に属する植物です。
イタリアの「モッツァレラチーズ」はどの動物の乳から作られる？	水牛	伝統的に水牛の乳を使用して作られます。
日本の伝統的なお菓子「羊羹」の主な原材料は何？	あんこ	小豆を使った甘いお菓子です。
寿司で使われる「軍艦巻き」の名前の由来は何？	形状	軍艦のような形に見えることから名付けられました。
日本酒の製造に欠かせない麹菌が作用する主な工程は何？	発酵	麹菌が米を糖化させ、発酵が進みます。
中国料理で知られる「麻婆豆腐」の辛さの元となる香辛料は？	花椒	独特なしびれる辛さが特徴です。
フランス料理の「エスカルゴ」とはどの生物を使用した料理？	カタツムリ	フランスの珍味として有名です。
イギリス発祥の「フィッシュアンドチップス」で使用される魚とは？	タラ	タラを揚げたものとポテトを組み合わせた料理です。
「エキストラバージンオリーブオイル」の基準は何？	酸度	酸度が0.8％以下であることが条件です。
日本の郷土料理「きりたんぽ」はどの県の名物？	秋田県	米を棒状にして焼き上げた料理です。
スパイスの一種「サフラン」は植物のどの部分？	花のめしべ	サフランの花から採取されます。
日本の伝統的な発酵食品「奈良漬」は何で漬け込む？	酒粕	酒粕で漬け込むことで風味が生まれます。
ピザの種類「マルゲリータ」の名前の由来は何？	イタリア王妃	王妃マルゲリータにちなんで名付けられました。
インドの主食である「ナン」はどのように調理される？	タンドール窯で焼く	窯の内壁に貼り付けて焼きます。
日本の郷土料理「いなり寿司」の揚げに使われる調味料は何？	砂糖と醤油	甘辛く味付けされた揚げが使われます。
「フォーチュンクッキー」はどの国で発祥したとされている？	アメリカ	アメリカで広まったお菓子です。
ワインのテイスティングで使用される「デキャンタ」の主な目的は何？	酸化促進	ワインを空気に触れさせることで香りを引き出します。
「カレー」の語源となったと考えられているインドの言葉は何？	タミル語の「カリ」	「ソース」や「汁」を意味します。
チーズの熟成が進むと生じる結晶状の粒は何？	アミノ酸	熟成による旨味の結晶です。
中国料理「酢豚」で使われる甘酸っぱいソースの主な材料は何？	酢と砂糖	バランスの取れた味付けが特徴です。
「クロワッサン」の名前の由来となった形は何？	三日月	三日月型の形状から名付けられました。
スペイン料理「パエリア」の主な特徴は何？	サフランで色付けされたご飯	鮮やかな黄色が特徴です。
アメリカの南部料理「ジャンバラヤ」に使われる主な炭水化物は何？	米	スパイスの効いたご飯料理です。
日本の料理「茶碗蒸し」の具材としてよく使われる魚介類は何？	エビ	滑らかな蒸し料理に彩りを添えます。
チョコレートケーキ「ガトーショコラ」の「ガトー」とは何を意味する？	ケーキ	フランス語で「ケーキ」を意味します。
日本の郷土料理「牡蠣土手鍋」の「土手」とは何を指している？	味噌の壁	鍋の周りに味噌を塗った形状を指します。